br-dashboard-api  | [03:35:04 INF] End processing HTTP request after 52.2382ms - 400
br-dashboard-api  | [03:35:09 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:35:09 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:35:09 INF] Received HTTP response headers after 82.9965ms - 400
br-dashboard-api  | [03:35:09 INF] End processing HTTP request after 83.3323ms - 400
br-dashboard-api  | [03:35:12 INF] HTTP GET /metrics responded 200 in 11.0943 ms
br-dashboard-api  | [03:35:13 INF] HTTP GET /health/live responded 200 in 0.2637 ms
br-dashboard-api  | [03:35:14 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:35:14 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:35:14 INF] Received HTTP response headers after 81.4287ms - 400
br-dashboard-api  | [03:35:14 INF] End processing HTTP request after 81.6269ms - 400
br-dashboard-api  | [03:35:19 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:35:19 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:35:19 INF] Received HTTP response headers after 71.7278ms - 400
br-dashboard-api  | [03:35:19 INF] End processing HTTP request after 72.5572ms - 400
br-dashboard-api  | [03:35:22 INF] HTTP GET /metrics responded 200 in 8.2477 ms
br-dashboard-api  | [03:35:24 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:35:24 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:35:24 INF] Received HTTP response headers after 48.9376ms - 400
br-dashboard-api  | [03:35:24 INF] End processing HTTP request after 49.4921ms - 400
br-dashboard-api  | [03:35:28 INF] HTTP GET /health/live responded 200 in 0.2488 ms
br-dashboard-api  | [03:35:29 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:35:29 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:35:29 INF] Received HTTP response headers after 50.5749ms - 400
br-dashboard-api  | [03:35:29 INF] End processing HTTP request after 50.9283ms - 400
br-dashboard-api  | [03:35:32 INF] HTTP GET /metrics responded 200 in 10.4604 ms
br-dashboard-api  | [03:35:34 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:35:34 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:35:34 INF] Received HTTP response headers after 39.957ms - 400
br-dashboard-api  | [03:35:34 INF] End processing HTTP request after 40.2665ms - 400
br-dashboard-api  | [03:35:39 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:35:39 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
